Rank 2 start loading data...
Rank 3 start loading data...
Rank 0 start loading data...Rank 1 start loading data...

UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
UNK token:0,too long:0, 'not_match':2
0 start loading model...
2start training...
3start training...
1start training...
0start training...




TRAIN: | epoch   0 |   159/ 7183 batches | 
TRAIN: | epoch   0 |   160/ 7183 batches | 
TRAIN: | epoch   0 |   161/ 7183 batches | 
TRAIN: | epoch   0 |   162/ 7183 batches | 
TRAIN: | epoch   0 |   163/ 7183 batches | 
TRAIN: | epoch   0 |   164/ 7183 batches | 
TRAIN: | epoch   0 |   165/ 7183 batches | 
TRAIN: | epoch   0 |   166/ 7183 batches | 
TRAIN: | epoch   0 |   167/ 7183 batches | 
TRAIN: | epoch   0 |   168/ 7183 batches | 
TRAIN: | epoch   0 |   169/ 7183 batches | 
TRAIN: | epoch   0 |   170/ 7183 batches | 
TRAIN: | epoch   0 |   171/ 7183 batches | 
TRAIN: | epoch   0 |   172/ 7183 batches | 
TRAIN: | epoch   0 |   173/ 7183 batches | 
TRAIN: | epoch   0 |   174/ 7183 batches | 
TRAIN: | epoch   0 |   175/ 7183 batches | 
TRAIN: | epoch   0 |   176/ 7183 batches | 
TRAIN: | epoch   0 |   177/ 7183 batches | 
TRAIN: | epoch   0 |   178/ 7183 batches | 
TRAIN: | epoch   0 |   179/ 7183 batches | 
TRAIN: | epoch   0 |   180/ 7183 batches | 
TRAIN: | epoch   0 |   181/ 7183 batches | 
TRAIN: | epoch   0 |   182/ 7183 batches | 
TRAIN: | epoch   0 |   183/ 7183 batches | 
TRAIN: | epoch   0 |   184/ 7183 batches | 
TRAIN: | epoch   0 |   185/ 7183 batches | 
TRAIN: | epoch   0 |   186/ 7183 batches | 
TRAIN: | epoch   0 |   187/ 7183 batches | 
TRAIN: | epoch   0 |   188/ 7183 batches | 
TRAIN: | epoch   0 |   189/ 7183 batches | 
TRAIN: | epoch   0 |   190/ 7183 batches | 
TRAIN: | epoch   0 |   191/ 7183 batches | 
TRAIN: | epoch   0 |   192/ 7183 batches | 
TRAIN: | epoch   0 |   193/ 7183 batches | 
TRAIN: | epoch   0 |   194/ 7183 batches | 
TRAIN: | epoch   0 |   195/ 7183 batches | 
TRAIN: | epoch   0 |   196/ 7183 batches | 
TRAIN: | epoch   0 |   197/ 7183 batches | 
TRAIN: | epoch   0 |   198/ 7183 batches | 
TRAIN: | epoch   0 |   199/ 7183 batches | 
TRAIN: | epoch   0 |   200/ 7183 batches | 
TRAIN: | epoch   0 |   201/ 7183 batches | 
TRAIN: | epoch   0 |   202/ 7183 batches | 
TRAIN: | epoch   0 |   203/ 7183 batches | 
TRAIN: | epoch   0 |   204/ 7183 batches | 
TRAIN: | epoch   0 |   205/ 7183 batches | 
TRAIN: | epoch   0 |   206/ 7183 batches | 
TRAIN: | epoch   0 |   207/ 7183 batches | 
TRAIN: | epoch   0 |   208/ 7183 batches | 
TRAIN: | epoch   0 |   209/ 7183 batches | 
TRAIN: | epoch   0 |   210/ 7183 batches | 
TRAIN: | epoch   0 |   211/ 7183 batches | 
TRAIN: | epoch   0 |   212/ 7183 batches | 
TRAIN: | epoch   0 |   213/ 7183 batches | 
TRAIN: | epoch   0 |   214/ 7183 batches | 
TRAIN: | epoch   0 |   215/ 7183 batches | 
TRAIN: | epoch   0 |   216/ 7183 batches | 
TRAIN: | epoch   0 |   217/ 7183 batches | 
TRAIN: | epoch   0 |   218/ 7183 batches | 
TRAIN: | epoch   0 |   219/ 7183 batches | 
TRAIN: | epoch   0 |   220/ 7183 batches | 
TRAIN: | epoch   0 |   221/ 7183 batches | 
TRAIN: | epoch   0 |   222/ 7183 batches | 
TRAIN: | epoch   0 |   223/ 7183 batches | 
TRAIN: | epoch   0 |   224/ 7183 batches | 
TRAIN: | epoch   0 |   225/ 7183 batches | 
TRAIN: | epoch   0 |   226/ 7183 batches | 
TRAIN: | epoch   0 |   227/ 7183 batches | 
TRAIN: | epoch   0 |   228/ 7183 batches | 
TRAIN: | epoch   0 |   229/ 7183 batches | 
TRAIN: | epoch   0 |   230/ 7183 batches | 
TRAIN: | epoch   0 |   231/ 7183 batches | 
TRAIN: | epoch   0 |   232/ 7183 batches | 
TRAIN: | epoch   0 |   233/ 7183 batches | 
TRAIN: | epoch   0 |   234/ 7183 batches | 
TRAIN: | epoch   0 |   235/ 7183 batches | 
TRAIN: | epoch   0 |   236/ 7183 batches | 
TRAIN: | epoch   0 |   237/ 7183 batches | 
TRAIN: | epoch   0 |   238/ 7183 batches | 
TRAIN: | epoch   0 |   239/ 7183 batches | 
TRAIN: | epoch   0 |   240/ 7183 batches | 
TRAIN: | epoch   0 |   241/ 7183 batches | 
TRAIN: | epoch   0 |   242/ 7183 batches | 
TRAIN: | epoch   0 |   243/ 7183 batches | 
TRAIN: | epoch   0 |   244/ 7183 batches | 
TRAIN: | epoch   0 |   245/ 7183 batches | 
TRAIN: | epoch   0 |   246/ 7183 batches | 
TRAIN: | epoch   0 |   247/ 7183 batches | 
TRAIN: | epoch   0 |   248/ 7183 batches | 
TRAIN: | epoch   0 |   249/ 7183 batches | 
TRAIN: | epoch   0 |   250/ 7183 batches | 
TRAIN: | epoch   0 |   251/ 7183 batches | 
TRAIN: | epoch   0 |   252/ 7183 batches | 
TRAIN: | epoch   0 |   253/ 7183 batches | 
TRAIN: | epoch   0 |   254/ 7183 batches | 
TRAIN: | epoch   0 |   255/ 7183 batches | 
TRAIN: | epoch   0 |   256/ 7183 batches | 
| epoch   0 |   256/ 7183 batches | | ms/batch 15892.46 | 
TRAIN: | epoch   0 |   257/ 7183 batches | 
TRAIN: | epoch   0 |   258/ 7183 batches | 
TRAIN: | epoch   0 |   259/ 7183 batches | 
TRAIN: | epoch   0 |   260/ 7183 batches | 
TRAIN: | epoch   0 |   261/ 7183 batches | 
TRAIN: | epoch   0 |   262/ 7183 batches | 
TRAIN: | epoch   0 |   263/ 7183 batches | 
TRAIN: | epoch   0 |   264/ 7183 batches | 
TRAIN: | epoch   0 |   265/ 7183 batches | 
TRAIN: | epoch   0 |   266/ 7183 batches | 
TRAIN: | epoch   0 |   267/ 7183 batches | 
TRAIN: | epoch   0 |   268/ 7183 batches | 
TRAIN: | epoch   0 |   269/ 7183 batches | 
TRAIN: | epoch   0 |   270/ 7183 batches | 
TRAIN: | epoch   0 |   271/ 7183 batches | 
TRAIN: | epoch   0 |   272/ 7183 batches | 
TRAIN: | epoch   0 |   273/ 7183 batches | 
TRAIN: | epoch   0 |   274/ 7183 batches | 
TRAIN: | epoch   0 |   275/ 7183 batches | 
TRAIN: | epoch   0 |   276/ 7183 batches | 
TRAIN: | epoch   0 |   277/ 7183 batches | 
TRAIN: | epoch   0 |   278/ 7183 batches | 
TRAIN: | epoch   0 |   279/ 7183 batches | 
